Name,Date time,Maximum Temperature,Minimum Temperature,Temperature,Wind Chill,Heat Index,Precipitation,Snow,Snow Depth,Wind Speed,Wind Direction,Wind Gust,Visibility,Cloud Cover,Relative Humidity,Conditions
"Bhubaneswar, OD, India",04-02-2020,37.3,26,30.5,,51.9,0,0,0,19.6,144.42,,4.1,16.7,74.31,Clear
"Bhubaneswar, OD, India",04-03-2020,37,25.9,30.8,,50.4,0,0,0,22.3,172,,4.7,20.7,63.66,Clear
"Bhubaneswar, OD, India",04-04-2020,32,26,28.1,,38,0,0,0,11.2,121.13,,3.9,47.1,77.04,Partially cloudy
"Bhubaneswar, OD, India",04-05-2020,34.2,26,29.4,,42,0,0,0,17,111.33,,3.3,51.5,79.69,Partially cloudy
"Bhubaneswar, OD, India",04-06-2020,37.4,26,30.4,,43.8,0,0,0,15.4,119.63,,3.7,19.2,73.93,Clear
"Bhubaneswar, OD, India",04-07-2020,37,25.9,30.2,,45.3,0,0,0,18.4,173.88,,4.3,37.5,73.22,Partially cloudy
"Bhubaneswar, OD, India",04-08-2020,34.5,25,29.6,,43.4,0.8,0,0,18.4,141.58,,4.9,63.3,66.93,"Rain, Partially cloudy"
"Bhubaneswar, OD, India",04-09-2020,35.2,22,28.3,,37.3,0,0,0,27.7,190.21,,5,31.6,61.56,Partially cloudy
"Bhubaneswar, OD, India",04-10-2020,37,24.9,30,,42.1,0,0,0,16.6,174.83,,4.8,29.4,72.82,Partially cloudy
"Bhubaneswar, OD, India",04-11-2020,39,26,30.8,,41.7,0,0,0,25.9,127.59,,4.9,34,65.33,Partially cloudy
"Bhubaneswar, OD, India",04-12-2020,39.2,25.9,31.1,,44.9,0,0,0,14.8,176.58,,4.4,33.7,69.05,Partially cloudy
"Bhubaneswar, OD, India",04/13/2020,40,26.9,31.5,,43.7,0,0,0,20.5,191.83,,4.6,43.7,67.92,Partially cloudy
"Bhubaneswar, OD, India",04/14/2020,39.5,26,31,,45.3,0,0,0,16.8,164.96,,4.7,31.3,72.59,Partially cloudy
"Bhubaneswar, OD, India",04/15/2020,38.6,26.8,31,,45.4,0,0,0,18.4,188.67,,4.7,35.2,70.41,Partially cloudy
"Bhubaneswar, OD, India",04/16/2020,38.1,26.8,31.2,,45.3,0,0,0,22.3,162.86,,4.8,23.6,67.53,Clear
"Bhubaneswar, OD, India",04/17/2020,36.1,27,30.3,,52.5,0,0,0,25.9,182.38,,5,33.7,74.64,Partially cloudy
